Category,Name,Price,Description,URL
https://www.net32.com/ec/infection-control-clinical-products-t-523,"SporeAlert Weekly Mail-In Sterilizer Monitoring Spore Testing Service, 52 Tests/Box. Fast",$195.00,Package of 52 tests,https://www.net32.com/ec/sporealert-weekly-mailin-sterilizer-monitoring-spore-testing-d-165631?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,CitriSil Blue waterline cleaning tablets 50/Pk. For 0.7 up to 1L bottles. Dental unit waterline,$46.92,48 maintenance tablets & 2 shock tablets (for 1 liter bottle),https://www.net32.com/ec/citrisil-blue-waterline-cleaning-tablets-50-pk-d-157733?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Optim 1 pre-saturated wipes, 6"" x 7"", 160 wipes/can. 1 minute broad spectrum contact time",$13.35,Can of 160 wipes,https://www.net32.com/ec/optim-1-presaturated-wipes-6-x-7-d-151131?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Brite Shield Powder Instrument Cleaner and Protectant, 800g Jar. Chemo-mechanically removes",$65.69,Box of 800 Gm. powder,https://www.net32.com/ec/brite-shield-powder-instrument-cleaner-protectant-800g-d-80444?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 4"" x 6"" Barrier Film, Clear, Roll of 1200 Sheets",$10.68,Roll of 1200 sheets,https://www.net32.com/ec/house-brand-4-x-6-barrier-film-d-106819?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand CSR Wraps, 15"" x 15"" Autoclave Sterilization Wrap Sheets for General (19-602330-HB)",$32.50,Package of 500 sheets,https://www.net32.com/ec/house-brand-csr-wraps-15-x-autoclave-d-130630?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,DentaPure 365 Day Bottle - Install by connecting to your existing Bottle System,$234.35,,https://www.net32.com/ec/dentapure-365-day-bottle-install-connecting-existing-d-109892?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 7.5"" x 13"" Self-Sealing Sterilization Pouch, Paper/Film with Color Changing Indicator",$12.93,Box of 200,https://www.net32.com/ec/house-brand-75-x-13-selfsealing-sterilization-d-115459?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"MetriCide 28 High-Level Disinfectant/Sterilant, 2.5% Glutaraldehyde, Contains (10-2800)",$28.42,One gallon bottle,https://www.net32.com/ec/metricide-28-highlevel-disinfectant-sterilant-25-glutaraldehyde-d-29039?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"SpeedClean Autoclave Cleaner - Breaks Down Chamber Deposits, for All Types of Sterilizers, 16 oz",$22.60,16 ounce bottle of solution,https://www.net32.com/ec/speedclean-autoclave-cleaner-breaks-chamber-deposits-types-d-29186?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Tidi Size 2 Schick x-ray sensor sheaths, Designed to fit Schick size 2 sensor/Sensor (20825)",$76.08,Box of 500 barriers,https://www.net32.com/ec/tidi-size-2-schick-xray-sensor-sheaths-d-95297?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"maxill steri-sox Self Sealing Sterilization Pouches, 2.75""x9"", 200/Box. Multi-parameter internal",$5.84,Box of 200,https://www.net32.com/ec/maxill-sterisox-self-sealing-sterilization-pouches-275x9-d-169589?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"maxill steri-sox Self Sealing Sterilization Pouches, 5.25""x6.5"", 200/Box. Multi-parameter internal",$14.25,Box of 200,https://www.net32.com/ec/maxill-sterisox-self-sealing-sterilization-pouches-525x65-d-169593?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"House Brand 2.25"" x 4"" Self-Sealing Sterilization Pouch, Paper/Blue-Green Film with Color Changing",$3.67,Box of 200,https://www.net32.com/ec/house-brand-225-x-4-selfsealing-sterilization-d-115454?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"CaviWipes1 Towelettes (X-Large) 65/Can, 12 Cans/Case. 9"" x 12"" Disposable towelettes pre-saturated",$139.89,Case of 780 Wipes,https://www.net32.com/ec/caviwipes1-towelettes-xlarge-65-12-cans-case-d-167513?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"QuickPass In-Office Dental Water Test Kit, 12/Pk. Have advanced neutralization technology within",$174.96,Package of 12 tests,https://www.net32.com/ec/quickpass-inoffice-dental-water-test-kit-12-d-161257?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"TidiShield Curing Light Sleeve, Custom Fit for ULTRADENT VALO CORDLESS 100/Bx. Curing Light",$14.50,Box of 100 sleeves,https://www.net32.com/ec/tidishield-curing-light-sleeve-custom-fit-ultradent-d-135208?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"QuickPass In-Office Dental Water Test Kit, 24/Pk. Have advanced neutralization technology within",$306.11,24/pk,https://www.net32.com/ec/quickpass-inoffice-dental-water-test-kit-24-d-161258?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,ICX Water Treatment Tablets 2 Liter 50/Bx. The tablets eliminate odor and foul tasting bacteria,$139.14,50 tablets,https://www.net32.com/ec/icx-water-treatment-tablets-2-liter-50-d-176649?queryID=95cfd5958ae9c9a6dab61163e0702321
https://www.net32.com/ec/infection-control-clinical-products-t-523,"Sterisil Straw 365 Day Straw for MUNICIPAL or water with TDS of 101ppm or greater, single straw",$249.69,,https://www.net32.com/ec/sterisil-straw-365-day-municipal-water-tds-d-135783?queryID=95cfd5958ae9c9a6dab61163e0702321
